ID,日期,開始,結束,行程名稱,時間,地點,地址,交通建議,Map,商家電話,按鈕,備註,A車駕駛,A車乘客,B車駕駛,B車乘客,C車駕駛,C車乘客,房間分配,菜單,Google地圖,能量,能量文案,解鎖對應,物品文案,解鎖對應2,物品文案2,對話角色,行前對話文案,前往對話文案,進行中對話文案,休息中對話文案,完成對話文案,解鎖題目,正確答案,啟用答題,解鎖題目2,正確答案2,啟用答題2
d1-transport,2026-08-29,10:00,11:20,前往宜蘭,10:00 - 11:20,,,火車、客運,,,看交通資訊,,,,,,,,,,,100%,期待值滿格,,,,,小旅人-揮手,東西都帶齊了嗎？再檢查一次，我們要出發去宜蘭啦！,,往宜蘭出發！蘭陽平原三面環山、東邊面海，一起進入這片山海冒險吧～,,,,,,,,
d1-meet,2026-08-29,11:20,11:40,宜蘭集合,11:20 - 11:40,冬山火車站,宜蘭縣冬山鄉冬山村中正路1號,,https://maps.app.goo.gl/8rbeQDzSU4jMF91XA,,看車輛分配,,,,,,,,,,,50%,夥伴集合完畢,藥水,獲得來自宜蘭的神秘藥水，喝下它，就可以看見宜蘭的另類魅力！,,,鴨子,,,集合完畢！下一站去吃番割田甕缸雞；用龍眼木、相思木燻烤，才能把雞皮烤香、把肉汁留住～,,,集合地點是哪一座火車站？,冬山火車站｜冬山車站,,,,
d1-lunch,2026-08-29,11:40,13:00,享用中餐,11:40 - 13:00,番割田甕缸雞,宜蘭縣蘇澳鎮里海山西路309號,,https://maps.app.goo.gl/3VLn7KhGS4uw6cun7,039909338,看車輛分配,,,,,,,,,,,50%,補充能量中,甕缸雞腿,吃了香氣四溢的甕缸雞腿，獲得滿滿的力量，可以正式迎接今天的宜蘭之旅！,宜蘭青蛙怪,一群宜蘭青蛙怪擋住了去路，呱呱！呱呱！,小旅人-揮手,,,甕缸雞要趁熱吃！先試酥脆雞皮，再沾點胡椒鹽，配雞油拌飯剛剛好～,,,午餐店家的招牌料理是什麼？,甕缸雞｜甕缸雞腿,,,,false
d1-laser,2026-08-29,13:30,14:30,雷射對決賽,13:30 - 14:30,安永心食館,宜蘭縣蘇澳鎮新城里中山路二段415號,,https://maps.app.goo.gl/eGh4ie2UihhiRThw8,0800533699,看車輛分配,,,,,,,,,,,100%,戰意沸騰,盾牌,和隊友同心協力，排除了宜蘭行最大的危險，獲得了勇氣盾牌,,,小旅人-驚慌,,好像有一大群青蛙怪擋在路中央，還向我們發出戰鬥邀請，大家準備好了嗎？,青蛙怪來勢洶洶！大家快集合，一起迎戰吧！,,,,,false,,,
d1-group,2026-08-29,14:50,16:30,共同行程,14:50 - 16:30,待確認,,,,,看車輛分配,,,,,,,,,,,80%,小隊同步中,眼睛,小旅行就是東看看西看看，獲得了宜蘭的眼界,,,鴨子,,危機解除！大家成功突破青蛙怪的阻擋，宜蘭冒險繼續前進～,新的宜蘭任務已開啟！跟緊小隊，一起看看接下來會遇到什麼驚喜吧～,,,這次旅行的目的地是哪個縣市？,宜蘭｜宜蘭縣,,,,
d1-dessert,2026-08-29,16:50,17:20,冬山自由觀光（推薦行程）,16:50 - 17:20,鹽滷豆花專賣店,宜蘭縣冬山鄉冬山村中正路42號,,https://maps.app.goo.gl/z5rCwgUnXykgKZS96,039595020,看車輛分配,,,,,,,,,,,60%,自由探索中,,,,,鴨子,,宜蘭不只蔥有名，冬山也有三十多年的做粿手藝！等等找小華村米粿和金珠蔥油餅吧～,冬山靠著河流與水田發展，米食、茶和香魚都是在地滋味；沿著老街慢慢找找看吧！,,,,,,,,
d1-ricecake,2026-08-29,16:50,17:20,冬山自由觀光（推薦行程）,16:50 - 17:20,小華村純米手作粿店,宜蘭縣冬山鄉南興村冬山路209號,,https://maps.app.goo.gl/BSnzfVqqunmXf47Z7,0989836377,看車輛分配,,,,,,,,,,,60%,自由探索中,,,,,,,,,,,,,,,,
d1-scallion-pancake,2026-08-29,16:50,17:20,冬山自由觀光（推薦行程）,16:50 - 17:20,冬山金珠蔥油餅,宜蘭縣冬山鄉南興村冬山路一段1018號,,https://maps.app.goo.gl/SW5uvBGoVvDQ4AFx8,0989343359,看車輛分配,,,,,,,,,,,60%,自由探索中,,,,,,,,,,,,,,,,
d1-farm-park,2026-08-29,17:20,17:50,補助推薦景點,17:20 - 17:50,良食農創園區,宜蘭縣冬山鄉南興村中正路37之2號,,https://maps.app.goo.gl/31TthwLcCtGGzpSi9,039582299,看車輛分配,,,,,,,,,,,40%,採買模式開啟,,,,,小旅人-揮手,,,別忘了在園區拍照留下紀錄，再到附近採買；兩條任務完成後就能前往民宿囉～,,,,,,,,
d1-shopping,2026-08-29,17:20,17:50,採買時間,17:20 - 17:50,喜互惠生鮮超市冬山店,宜蘭縣冬山鄉南興村冬山路一段986巷5號,,https://maps.app.goo.gl/6drg1CgTazY23ruF8,039593300,看車輛分配,,,,,,,,,,,40%,採買模式開啟,,,,,,,,,,,,,,,,
